order_id,order_line,order_date,ship_date,customer_id,customer_name,customer_type,region,country,sku,quantity,negotiated_unit_price,total_line_value,order_status,priority
ORD-000293,1,2024-07-29,2024-08-30,CUST-1026,Global Electronics,CM,Americas,Mexico,CHIP-dsPIC-0015,10000,12.53,125300.0,Shipped,Expedite
ORD-000265,1,2024-08-03,2024-09-07,CUST-1036,Global Solutions,CM,Americas,United States,CHIP-PIC32-0011,500,30.9,15450.0,Shipped,Critical
ORD-000045,1,12/24/2024,2025-01-16,CUST-1075,Rapid Solutions,OEM,APAC,Singapore,CHIP-WBZ-0005,10,9.82,98.2,Shipped,Expedite
ORD-000207,2,2025-03-13,2025-04-24,CUST-1043,Nova Manufacturing,OEM,Japan,Japan,CHIP-dsPIC-0001,1000,28.38,28380.0,Confirmed,Critical
ORD-000012,2,2025-09-21,2025-10-29,CUST-1043,Nova Manufacturing,OEM,Japan,Japan,CHIP-MCP-0010,5000,39.88,199400.0,Shipped,Standard
ORD-000344,1,07/12/2025,2025-07-19,CUST-1034,Omega Semiconductor,EMS,Japan,Japan,CHIP-MPF-0012,50,10.66,533.0,Shipped,Standard
ORD-000394,2,2025-01-25,2025-03-11,CUST-1057,Halo Semiconductor,Distributor,Asia-Pacific,Taiwan,CHIP-MPF-0006,25,0.5,12.5,Shipped,Expedite
ORD-000236,2,18-Dec-2024,2024-12-28,CUST-1004,Terra Devices,Distributor,Americas,United States,CHIP-PIC18-0006,500,9.65,4825.0,Shipped,Standard
ORD-000278,1,25-May-2025,2025-06-01,CUST-1016,Kilo Dynamics,EMS,EMEA,Italy,CHIP-MCP-0001,10000,18.33,183300.0,Shipped,Standard
ORD-000361,1,2025-03-30,2025-04-15,CUST-1073,Wave Systems,CM,EMEA,Israel,CHIP-WBZ-0002,50,15.84,792.0,Pending,Expedite
ORD-000475,3,2025-10-19,2025-11-12,CUST-9901,TEST Account 2,OEM,Americas,United States,CHIP-WBZ-0004,25,15.95,398.75,Shipped,Standard
ORD-000571,1,2024-06-13,2024-07-28,CUST-1053,Sigma Systems,CM,APAC,China,CHIP-WBZ-0016,25,21.38,534.5,Shipped,Expedite
ORD-000384,1,2024-03-26,2024-03-27,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,10000,7.47,74700.0,Shipped,Expedite
ORD-000431,4,2025-10-13,2025-11-26,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,500,18.53,9821.58,Pending,Expedite
ORD-000499,1,2024-02-19,2024-03-29,CUST-1029,Apex Dynamics,EMS,EMEA,Italy,CHIP-PIC32-0003,2500,7.97,19925.0,Backordered,Standard
ORD-000541,3,2025-05-12,2025-06-24,CUST-1004,Terra Devices,Distributor,Americas,United States,CHIP-MPF-0010,1000,16.23,16230.0,Shipped,Expedite
ORD-000476,3,2025-01-07,2025-01-12,CUST-1009,Bolt Components,CM,Japan,Japan,CHIP-dsPIC-0015,5000,13.77,68850.0,Shipped,Critical
ORD-000494,1,2025-10-02,2025-11-02,CUST-1010,Atlas Semiconductor,EMS,EMEA,Italy,CHIP-PIC32-0012,5000,1.53,7650.0,Shipped,Standard
ORD-000302,1,2024-05-30,2024-06-06,CUST-1026,Global Electronics,CM,AMER,Mexico,CHIP-PIC32-0005,5000,37.38,186900.0,Shipped,Critical
ORD-000312,1,2025-10-14,2025-11-20,CUST-9901,TEST Account 2,OEM,Americas,United States,CHIP-PIC32-0004,100,37.11,3711.0,Confirmed,Standard
ORD-000032,1,2025-02-09,2025-03-14,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-WBZ-0016,2500,20.06,50150.0,Shipped,Expedite
ORD-000407,2,22-Feb-2024,2024-03-06,CUST-1073,Wave Systems,CM,EMEA,Israel,CHIP-dsPIC-0005,1000,9.49,9490.0,Shipped,Critical
ORD-000574,1,2025-08-30,2025-10-05,CUST-1057,Halo Semiconductor,Distributor,APAC,Taiwan,CHIP-MCP-0001,2500,17.88,44700.0,Confirmed,Expedite
ORD-000082,1,08-May-2025,2025-06-01,CUST-1010,Atlas Semiconductor,EMS,EMEA,Italy,CHIP-MPF-0013,250,2.19,547.5,Confirmed,Expedite
ORD-000430,1,01-Jan-2024,2024-01-03,CUST-1000,Apex Semiconductor,OEM,AMER,United States,CHIP-dsPIC-0009,2500,18.9,47250.0,Confirmed,Standard
ORD-000370,2,08/01/2024,2024-09-13,CUST-1001,Pacific Components,Distributor,APAC,China,CHIP-PIC32-0009,250,18.51,4627.5,Pending,Expedite
ORD-000123,1,07-Sep-2024,2024-09-18,CUST-1000,Apex Semiconductor,OEM,Americas,United States,CHIP-dsPIC-0003,500,7.21,3605.0,Shipped,Critical
ORD-000268,3,12-Mar-2025,2025-03-28,CUST-1002,Nordic Manufacturing,EMS,EMEA,Germany,CHIP-PIC32-0009,5000,24.04,120200.0,Shipped,Critical
ORD-000130,1,2024-08-19,2024-08-31,CUST-9901,TEST Account 2,OEM,AMER,United States,CHIP-MCP-0009,5000,17.06,85300.0,Shipped,Standard
ORD-000137,1,12/25/2025,2026-01-26,CUST-1070,Zen Solutions,EMS,Americas,Mexico,CHIP-WBZ-0011,5000,21.37,106850.0,Shipped,Expedite
